,id,total_fires,acres_burned,logged_acres_burned
94,12049,690,11579.8,277.7983675457325
95,12051,1220,35022.200000000004,419.2690646630123
96,12053,1128,15021.09999,237.21046119940138
97,12055,2356,49383.29997,293.2404259360969
98,12057,1054,28458.7,728.1875439126787
99,12059,824,4435.0,126.51918926121371
100,12061,677,16577.3,244.85830837724546
101,12063,1290,6356.96,176.7201211568675
102,12065,520,3520.25,92.61866720275079
103,12067,570,69271.6,-1.4836940012670592
104,12069,2250,63911.3,809.732546225485
105,12071,2597,43997.0,765.133036554789
106,12073,608,10809.08,136.10975859524316
107,12075,2555,25172.4,602.8035571127059
108,12077,535,53257.36,235.66746020963095
109,12079,1034,6310.8,-95.4721250438148
110,12081,618,12838.5,306.11597436981924
111,12083,3380,63718.21,398.4728464201931
112,12085,777,23047.2,424.4229552510916
113,12086,2881,408613.2,1689.1021557785477
114,12087,165,44661.6,166.91964689414928
115,12089,966,11187.92,167.05954125678358
116,12091,988,12379.800000000001,100.89172026202773
117,12093,1455,64837.90001,377.7801488047927
118,12095,1304,42573.5,623.222939265906
119,12097,1133,76172.1,966.4412556608642
120,12099,1067,376614.3,691.482982619819
121,12101,1346,27547.69998,612.6872325267797
122,12103,167,2387.1,86.35460432556361
123,12105,3991,143465.1,2050.158658457959
124,12107,2052,30688.35,202.3522572332922
125,12109,1511,23700.2,163.32114387302582
126,12111,604,10719.8,292.598556768032
127,12113,3021,54203.6,425.2105610248074
128,12115,1818,41895.0,406.73284338952203
129,12117,427,5808.7,78.13971098863675
130,12119,462,10168.1,190.30882846369244
131,12121,1737,7910.2,165.8875214375369
132,12123,1414,7344.7,-115.14418159897042
133,12125,477,18436.2,56.26970027468754
134,12127,3556,167663.20001,466.94149706560415
135,12129,722,72381.26999999999,53.275576296587076
136,12131,1715,19131.4,81.17610495587502
137,12133,764,5855.5,132.56674022116272
138,13001,1769,7757.7300000000005,-157.4882992750352
139,13003,1258,11294.1402,-198.84015035130815
140,13005,1166,29355.18001,5.555354335575823
141,13007,552,2874.71,70.9923426587735
142,13009,843,2583.68,-22.17317870912022
143,13011,300,750.41,-32.71390315794663
144,13013,233,580.71,-9.06358593612105
145,13015,1881,11308.75001,453.00800677282314
146,13017,1201,2948.05,-250.7272652859587
147,13019,1624,7545.19,-37.41192818125523
148,13021,456,1780.82,61.24686582005749
149,13023,1147,4002.58,158.4426683065531
150,13025,1736,14954.12998,-126.83799028296589
151,13027,1724,7532.5,65.73005810942334
152,13029,1110,9617.58,135.77337736869987
153,13031,1812,9403.09,264.80780781553426
154,13033,1693,15705.87,620.3537929646187
155,13035,437,1406.09,-62.37586640941518
156,13037,438,1404.51,-39.31222111397461
157,13039,1341,12009.79,-305.0656573049154
158,13043,1136,4190.71,-28.32747403360172
159,13045,1235,4111.88,43.468047255476264
160,13047,982,2409.16,-228.01601206167376
161,13049,1307,256736.09000999999,77.81587407477183
162,13051,809,4003.58,122.54052731554162
163,13053,230,998.03,39.37502933328737
164,13055,1844,11239.01,374.73164052164003
165,13057,1556,3947.3599999999997,-255.35088118941485
166,13059,120,283.71000000000004,-2.710282055310088
167,13061,213,1869.59,28.251278920897825
168,13063,222,785.14,35.979697208047675
169,13065,1046,37310.40998,96.67009433694095
170,13067,182,469.03999999999996,2.8428677369610114
171,13069,1820,8244.24,-17.829596241294098
172,13071,1488,5284.20001,4.284755296714048
173,13073,602,1676.85,-58.5421816958252
174,13075,1412,4997.64,-85.43605445077684
175,13077,1442,4816.68,-182.4302738274519
176,13079,1218,4089.74999,-118.66048400748687
177,13081,1075,3654.91,-92.62482213017473
178,13083,1011,14722.179979999999,74.44902628712826
179,13085,590,1747.0,-94.72823771712999
180,13087,1973,8522.75001,90.66780723899527
181,13089,166,578.88,27.45643659575632
182,13091,2464,8746.67,-161.86684861439122
183,13093,653,3546.7799999999997,60.515609635082996
184,13095,743,3698.73999,-98.49474080188725
185,13097,310,1317.3799999999999,56.18544558039092
186,13099,1318,5457.33,-10.254239018435333
187,13101,821,3899.9799900000003,-81.84229554809892
188,13103,1809,9136.13,125.7760688620888
189,13105,764,1691.0,-197.62488676779026
190,13107,1902,9452.9,78.97638970942225
191,13109,916,2635.61,-77.49432759928403
192,13111,1106,4742.55,-146.7253728689695
193,13113,182,584.02,13.672776871549274
194,13115,1853,12120.34,255.81190071561375
195,13117,565,805.76,-121.76043553905151
196,13119,637,1152.68,-116.94874335624573
197,13121,356,1471.8700000000001,63.37604531054392
198,13123,647,5631.4800000000005,23.17689564266223
199,13125,339,1141.3999999999999,-68.72464773770132
200,13127,904,4077.6,-37.223470122469685
201,13129,1300,3587.79,-81.14213127812492
202,13131,1399,3761.0299999999997,-53.086800815088885
203,13133,688,2220.89001,-144.33210662039426
204,13135,489,1650.44,101.96474968978818
205,13137,708,2060.03,-91.15271480716945
206,13139,1205,2102.62,-239.31945495285117
207,13141,982,5933.03,103.1870200672465
208,13143,1811,7371.81999,188.35064510339006
209,13145,909,3885.49999,87.75785730129923
210,13147,476,1027.48,-26.692814216086894
211,13149,526,4074.69,177.17085652143112
212,13151,772,2108.3,-38.52437509440379
213,13153,1161,3908.27,60.56430461185248
214,13155,1085,3861.4,-123.70937475913466
215,13157,363,1176.61,41.86325052017514
216,13159,783,2837.04,-17.552495748126756
217,13161,1516,5706.72,-410.93303433856465
218,13163,1332,5124.5,-208.58941526391035
219,13165,1039,4051.15,84.8894482160952
220,13167,1462,4857.52,-294.2784475855366
